date,product_id,sales_volume,raw_material_price,fuel_price,exchange_rate,market_demand_index,production_capacity,month,is_holiday,season,sales_lag_1,sales_lag_3,sales_lag_6
2000-01-31,Aluminium,302,133.72343894881863,41.42021764531573,83.39073000818308,70,1602,1,1,winter,,,
2000-02-29,Aluminium,253,118.0892009394567,,60.61753482887407,73,1991,2,0,winter,302.0,,
2000-03-31,Aluminium,251,94.33937943676301,53.36647510712832,72.95835055926347,76,1558,3,0,winter,253.0,,
2000-04-30,Aluminium,255,106.48559873736288,62.481158648755475,65.9902134647508,52,1984,4,0,spring,251.0,302.0,
2000-05-31,Aluminium,294,145.3761404547882,54.71508762459388,71.56249507619748,51,1839,5,1,spring,255.0,253.0,
2000-06-30,Aluminium,247,72.75108168921747,66.82621407275738,67.76339944800051,51,1889,6,0,spring,294.0,251.0,
2000-07-31,Aluminium,210,132.01062586888918,67.88246295474661,86.84482051282947,80,1803,7,0,summer,247.0,255.0,302.0
2000-08-31,Aluminium,212,96.02642646106115,48.60370513913187,68.14047095321688,73,1909,8,0,summer,210.0,294.0,253.0
2000-09-30,Aluminium,249,134.17575846032318,,89.60660809801553,50,1991,9,0,summer,212.0,247.0,251.0
2000-10-31,Aluminium,239,128.320573443279,61.9944621340081,62.22133955202271,77,1634,10,0,fall,249.0,210.0,255.0
2000-11-30,Aluminium,274,123.50730021308858,58.30728248161238,77.73893363123182,76,1534,11,0,fall,239.0,212.0,294.0
2000-12-31,Aluminium,250,127.73836169318986,,67.68204968283972,58,1706,12,1,fall,274.0,249.0,247.0
2001-01-31,Aluminium,203,141.66108765388157,51.63795781137391,76.8982671592915,79,1984,1,1,winter,250.0,239.0,210.0
2001-02-28,Aluminium,180,145.4282856446385,55.96029132709876,80.84354799119114,51,1669,2,0,winter,203.0,274.0,212.0
2001-03-31,Aluminium,221,87.47523497734669,49.57784817546282,86.49840776756605,74,1730,3,0,winter,180.0,250.0,249.0
2001-04-30,Aluminium,242,135.44118127379943,65.12557041397201,60.20856391593572,76,1636,4,0,spring,221.0,203.0,239.0
2001-05-31,Aluminium,243,145.43277631300154,46.312102620726435,75.56371865230098,98,1817,5,1,spring,242.0,180.0,274.0
2001-06-30,Aluminium,251,126.98164719395535,40.183042548368995,89.93221455146826,98,1501,6,0,spring,243.0,221.0,250.0
2001-07-31,Aluminium,232,89.1649512533578,40.07132052319281,74.68358280832689,55,1915,7,0,summer,251.0,242.0,203.0
2001-08-31,Aluminium,251,128.25730788894876,47.87240964517386,78.96917491780738,71,1894,8,0,summer,232.0,243.0,180.0
2001-09-30,Aluminium,259,84.92148083198833,36.427129954416735,77.72678829564725,85,1902,9,0,summer,251.0,251.0,221.0
2001-10-31,Aluminium,290,83.94931432039931,59.182820833586305,71.60206038901612,89,1628,10,0,fall,259.0,232.0,242.0
2001-11-30,Aluminium,329,140.18714827047847,44.027956970030445,79.79952138102537,97,1999,11,0,fall,290.0,251.0,243.0
2001-12-31,Aluminium,377,114.66347628856781,65.89227201162689,65.66121325024139,68,1803,12,1,fall,329.0,259.0,251.0
2002-01-31,Aluminium,364,121.36253169234303,37.94489877482671,64.84886142283841,89,1839,1,1,winter,377.0,290.0,232.0
2002-02-28,Aluminium,367,70.4049267076975,40.62828179961245,,84,1707,2,0,winter,364.0,329.0,251.0
2002-03-31,Aluminium,323,96.03197585274143,61.12719917913084,79.48898697141644,52,1900,3,0,winter,367.0,377.0,259.0
2002-04-30,Aluminium,323,90.03694548844673,55.64547966461903,89.36678574825027,57,1782,4,0,spring,323.0,364.0,290.0
2002-05-31,Aluminium,291,109.4014155055091,41.83350457293156,81.67356345784516,53,1534,5,1,spring,323.0,367.0,329.0
2002-06-30,Aluminium,277,146.314286160207,67.0202536577157,71.10476100766333,73,1848,6,0,spring,291.0,323.0,377.0
2002-07-31,Aluminium,293,93.55591136556686,48.47842050106738,85.5341001455057,67,1780,7,0,summer,277.0,323.0,364.0
2002-08-31,Aluminium,308,77.77411950166149,56.52525293447094,89.7016155031279,76,1989,8,0,summer,293.0,291.0,367.0
2002-09-30,Aluminium,283,126.71287975280949,54.348699191776774,68.89530430943395,84,1805,9,0,summer,308.0,277.0,323.0
2002-10-31,Aluminium,248,120.23155319589088,,62.12822750999783,63,1959,10,0,fall,283.0,293.0,323.0
2002-11-30,Aluminium,260,116.26241127969392,36.25797958288597,73.96794054397381,71,1813,11,0,fall,248.0,308.0,291.0
2002-12-31,Aluminium,262,98.81525131290104,39.447117942815964,75.66729780164414,93,1607,12,1,fall,260.0,283.0,277.0
2003-01-31,Aluminium,227,102.90831240453429,59.482927376851784,64.15059277253404,62,1869,1,1,winter,262.0,248.0,293.0
2003-02-28,Aluminium,266,104.68165900645937,61.04149250496904,67.52581582039984,72,1626,2,0,winter,227.0,260.0,308.0
2003-03-31,Aluminium,304,105.38817837848836,43.39255757050911,62.816198702438754,89,1736,3,0,winter,266.0,262.0,283.0
2003-04-30,Aluminium,279,104.85383189423129,,61.431483830749464,65,1934,4,0,spring,304.0,227.0,248.0
2003-05-31,Aluminium,297,77.5325590614848,45.8994658286953,89.38531585864526,61,1899,5,1,spring,279.0,266.0,260.0
2003-06-30,Aluminium,315,107.17390503516891,,61.44176772591101,85,1789,6,0,spring,297.0,304.0,262.0
2003-07-31,Aluminium,288,138.51918729506576,58.05427710666308,64.88803281244289,65,1746,7,0,summer,315.0,279.0,227.0
2003-08-31,Aluminium,270,116.03793423007032,48.58594741722827,79.2986465532706,92,1600,8,0,summer,288.0,297.0,266.0
2003-09-30,Aluminium,221,85.66329078314371,37.42764553063079,63.0233400413228,99,1534,9,0,summer,270.0,315.0,304.0
2003-10-31,Aluminium,228,97.2499655571392,44.12430848825661,74.88112362880219,99,1992,10,0,fall,221.0,288.0,279.0
2003-11-30,Aluminium,226,84.19516350237782,61.27151630743004,84.20504217801792,84,1995,11,0,fall,228.0,270.0,297.0
2003-12-31,Aluminium,188,144.46058604828517,65.04444631450542,72.86982082125056,72,1716,12,1,fall,226.0,221.0,315.0
2004-01-31,Aluminium,186,136.11659728861935,46.20173603607141,86.86569685488601,85,1895,1,1,winter,188.0,228.0,288.0
2004-02-29,Aluminium,151,146.0049573640644,68.27125014281447,77.20313664369858,54,1598,2,0,winter,186.0,226.0,270.0
2004-03-31,Aluminium,142,133.3263234980679,62.63663499780939,62.73618309146071,88,1897,3,0,winter,151.0,188.0,221.0
2004-04-30,Aluminium,108,79.36536131420847,40.00470887184925,82.84531895152416,87,1506,4,0,spring,142.0,186.0,228.0
2004-05-31,Aluminium,140,126.4993781725197,37.84720732246649,62.545131422555755,57,1995,5,1,spring,108.0,151.0,226.0
2004-06-30,Aluminium,120,148.88008510582966,61.36823648406296,71.28778756592747,68,1944,6,0,spring,140.0,142.0,188.0
2004-07-31,Aluminium,161,78.89579858449211,52.24187865018007,60.34060934302257,69,1975,7,0,summer,120.0,108.0,186.0
2004-08-31,Aluminium,135,116.66950120777277,68.67603919660897,71.24611738571112,82,1921,8,0,summer,161.0,140.0,151.0
2004-09-30,Aluminium,159,73.4527929560461,66.19000897943249,75.831033272589,86,1663,9,0,summer,135.0,120.0,142.0
2004-10-31,Aluminium,111,,50.90893726687206,78.8267424025219,65,1970,10,0,fall,159.0,161.0,108.0
2004-11-30,Aluminium,152,101.5617438886504,38.73646230775596,70.0698019439089,85,1589,11,0,fall,111.0,135.0,140.0
2004-12-31,Aluminium,118,147.95158461329333,69.5173760567861,80.94485142059236,58,1916,12,1,fall,152.0,159.0,120.0
2005-01-31,Aluminium,136,142.8741747595074,63.78880350231091,88.49399739875773,96,1908,1,1,winter,118.0,111.0,161.0
2005-02-28,Aluminium,103,83.18674089096008,49.393929080487915,83.32806851205677,81,1738,2,0,winter,136.0,152.0,135.0
2005-03-31,Aluminium,151,136.33313765652116,54.91785142080117,61.90535488770004,50,1904,3,0,winter,103.0,118.0,159.0
2005-04-30,Aluminium,153,129.99285995759774,66.9608013290175,77.55448596976416,86,1701,4,0,spring,151.0,136.0,111.0
2005-05-31,Aluminium,167,90.11539516094388,44.61561289590681,66.21682947024169,98,1987,5,1,spring,153.0,103.0,152.0
2005-06-30,Aluminium,166,109.85321493167143,51.667374387615496,84.94114470187503,61,1948,6,0,spring,167.0,151.0,118.0
2005-07-31,Aluminium,200,117.19647177101089,51.801608845646626,72.61607335995225,63,1565,7,0,summer,166.0,153.0,136.0
2005-08-31,Aluminium,200,118.64702796335081,57.28255125677989,76.64446825626678,83,1807,8,0,summer,200.0,167.0,103.0
2005-09-30,Aluminium,153,119.76693601822987,65.18272980613608,88.48561870972927,59,1683,9,0,summer,200.0,166.0,151.0
2005-10-31,Aluminium,145,148.40260602283817,52.24163328975044,69.86254830862525,97,1958,10,0,fall,153.0,200.0,153.0
2005-11-30,Aluminium,98,102.0240391128225,59.418365079392615,65.40201817047895,74,1694,11,0,fall,145.0,200.0,167.0
2005-12-31,Aluminium,139,,36.43040156932676,65.06805189216493,91,1816,12,1,fall,98.0,153.0,166.0
2006-01-31,Aluminium,133,86.5066974724634,47.74944513668264,75.1025181256457,76,1572,1,1,winter,139.0,145.0,200.0
2006-02-28,Aluminium,108,139.88628992854217,67.23053401861347,61.83233879564591,85,1756,2,0,winter,133.0,98.0,200.0
2006-03-31,Aluminium,144,99.63776822331056,51.958304481685744,78.54764314590888,63,1715,3,0,winter,108.0,139.0,153.0
2006-04-30,Aluminium,111,127.0679668707642,66.33223931905198,75.35032326346999,87,1726,4,0,spring,144.0,133.0,145.0
2006-05-31,Aluminium,150,71.60569582221811,46.27277079541124,66.34344020989634,93,1524,5,1,spring,111.0,108.0,98.0
2006-06-30,Aluminium,185,121.90582722332607,51.78537356139876,77.52598454142507,83,1610,6,0,spring,150.0,144.0,139.0
2006-07-31,Aluminium,193,96.99574670975345,66.48765890007543,78.22665666880718,94,1953,7,0,summer,185.0,111.0,133.0
2006-08-31,Aluminium,204,99.2285455739246,52.07334302830583,85.5245255350844,79,1594,8,0,summer,193.0,150.0,108.0
2006-09-30,Aluminium,219,102.83174615917292,,63.36116706504157,69,1719,9,0,summer,204.0,185.0,144.0
2006-10-31,Aluminium,247,83.67100699120526,58.402512697355085,87.88127967382758,60,1891,10,0,fall,219.0,193.0,111.0
2006-11-30,Aluminium,208,95.89433891233949,49.89027535157459,75.22831136053365,96,1500,11,0,fall,247.0,204.0,150.0
2006-12-31,Aluminium,163,144.56114738055473,46.222476725583,77.81649292673697,99,1509,12,1,fall,208.0,219.0,185.0
2007-01-31,Aluminium,129,134.7899556683708,43.912422916731735,80.44508166671788,58,1958,1,1,winter,163.0,247.0,193.0
2007-02-28,Aluminium,156,144.36233153982607,64.07167927257052,88.95080731999538,60,1636,2,0,winter,129.0,208.0,204.0
2007-03-31,Aluminium,119,115.95784905439295,64.46400718653952,64.19317129878868,79,1790,3,0,winter,156.0,163.0,219.0
2007-04-30,Aluminium,86,142.62929043700126,46.06688038037731,77.6492002738517,89,1827,4,0,spring,119.0,129.0,247.0
2007-05-31,Aluminium,52,113.18248495317064,50.35606363859186,77.32458812718377,82,1994,5,1,spring,86.0,156.0,208.0
2007-06-30,Aluminium,52,113.42794484907272,50.10348500977549,69.98447357737453,57,1541,6,0,spring,52.0,119.0,163.0
2007-07-31,Aluminium,28,133.08777689796244,40.30862079064629,69.35166203386645,82,1753,7,0,summer,52.0,86.0,129.0
2007-08-31,Aluminium,77,97.36653989727259,63.744005663520454,63.31895210865622,94,1715,8,0,summer,28.0,52.0,156.0
2007-09-30,Aluminium,121,88.34011161861132,60.27883989375732,81.60109609638224,85,1791,9,0,summer,77.0,52.0,119.0
2007-10-31,Aluminium,160,97.40194057428347,42.957284406049546,72.70790587261449,95,1862,10,0,fall,121.0,28.0,86.0
